step,x,y,z,pitch,yaw,roll,speed_kmh,goal_distance,lane_deviation,lane_width
1,451.4493713378906,141.39854431152344,-0.02811063639819622,0.0,0.2347566783428192,0.0,0.35778401792050357,nan,0.12263574451208115,3.5
2,451.4493713378906,141.39854431152344,-0.028928659856319427,0.0,0.2347566783428192,0.0,0.11669952124472219,nan,0.12282583117485046,3.5
3,451.4493713378906,141.39854431152344,-0.0288858599960804,0.0,0.2347566783428192,0.0,0.047148889305383315,nan,0.12281575798988342,3.5
4,451.4493713378906,141.39854431152344,-0.028291568160057068,0.0,0.2347566783428192,0.0,0.16504373699525202,nan,0.12267734110355377,3.5
5,451.4493713378906,141.39854431152344,-0.027162417769432068,0.0,0.2347566783428192,0.0,0.25596038997192266,nan,0.12242186814546585,3.5
6,451.4493713378906,141.39854431152344,-0.02592603676021099,0.0,0.2347566783428192,0.0,0.3127594113353164,nan,0.12215349823236465,3.5
7,451.4493713378906,141.39854431152344,-0.02077169343829155,0.0,0.2347566783428192,0.0,0.3802602857352771,nan,0.12116426974534988,3.5
8,451.4493713378906,141.39854431152344,-0.019278697669506073,0.0,0.2347566783428192,0.0,0.3805467724800232,nan,0.12091726809740067,3.5
9,451.4493713378906,141.39854431152344,-0.017477549612522125,0.0,0.2347566783428192,0.0,0.3685896992688019,nan,0.12064319849014282,3.5
10,451.4493713378906,141.39854431152344,-0.015623454935848713,0.0,0.2347566783428192,0.0,0.351178488135842,nan,0.12038857489824295,3.5
11,451.4493713378906,141.39854431152344,-0.013899898156523705,0.0,0.2347566783428192,0.0,0.3318344503641575,nan,0.12017705291509628,3.5
12,451.4493713378906,141.39854431152344,-0.012458858080208302,0.0,0.2347566783428192,0.0,0.3143035590650142,nan,0.12001892179250717,3.5
13,451.4493713378906,141.39854431152344,-0.011111507192254066,0.0,0.2347566783428192,0.0,0.2929733723402813,nan,0.11988653987646103,3.5
14,451.4493713378906,141.39854431152344,-0.009687709622085094,0.0,0.2347566783428192,0.0,0.2651221454143528,nan,0.11976297199726105,3.5
15,451.4493713378906,141.39854431152344,-0.00865262933075428,0.0,0.2347566783428192,0.0,0.2516634106636441,nan,0.11968369036912918,3.5
16,451.4493713378906,141.39854431152344,-0.007551975082606077,0.0,0.2347566783428192,0.0,0.22676245272164278,nan,0.11960915476083755,3.5
17,451.4493713378906,141.39854431152344,-0.006665134336799383,0.0,0.2347566783428192,0.0,0.21143472790732745,nan,0.11955643445253372,3.5
18,451.4493713378906,141.39854431152344,-0.0059335133992135525,0.0,0.2347566783428192,0.0,0.19729613363745013,nan,0.11951788514852524,3.5
19,451.4493713378906,141.39854431152344,-0.005031452048569918,0.0,0.2347566783428192,0.0,0.16985004097227724,nan,0.11947649717330933,3.5
20,451.4493713378906,141.39854431152344,-0.004345035646110773,0.0,0.2347566783428192,0.0,0.16015917956829476,nan,0.11944955587387085,3.5
21,451.4493713378906,141.39854431152344,-0.003598079551011324,0.0,0.2347566783428192,0.0,0.13609893321991515,nan,0.1194247230887413,3.5
22,451.4493713378906,141.39854431152344,-0.003061008406803012,0.0,0.2347566783428192,0.0,0.13162633627653936,nan,0.11940974742174149,3.5
23,451.4493713378906,141.39854431152344,-0.002594318240880966,0.0,0.2347566783428192,0.0,0.12072307616473783,nan,0.11939869076013565,3.5
24,451.4493713378906,141.39854431152344,-0.002053051022812724,0.0,0.2347566783428192,0.0,0.09764974191785059,nan,0.1193881556391716,3.5
25,451.4493713378906,141.39854431152344,-0.0015931129455566406,0.0,0.2347566783428192,0.0,0.08962488099935598,nan,0.1193811371922493,3.5
