timestamp,experiment,log_tag,algo,env,obs_mode,action,render,render_freq,carla_host,carla_port,checkpoint_freq,checkpoint_dir,final_model,resume_from,timesteps,eval_episodes,seed,success_rate,avg_deviation_m,fps,latency_ms,run_dir,hyperparams,notes
2025-10-09T12:37:33,ppo_rgb_disc_dropfix__grid-436af849,ppo_rgb_disc_dropfix__grid-436af849__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-4c14fac4__ts-20251008-145604,ppo,carla,rgb,disc,true,2,localhost,2005,100000,/home/elahed/users/elahe/RL for AIF in RAL/runs/sweep_rgb_disc/ppo_rgb_disc_dropfix__grid-436af849__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-4c14fac4__ts-20251008-145604/checkpoints,runs/sweep_rgb_disc/ppo_rgb_disc_dropfix__grid-436af849__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-4c14fac4__ts-20251008-145604/ppo_rgb_disc_dropfix__grid-436af849__ppo__obs-rgb__act-disc__steps-4000000__seed-0__batch-128__nsteps-2048__lr-lin-0p0003-to-5e-05__ts-20251008-145604.zip,,4001792,12,0,91.67,0.1736,322.42,3.102,runs/sweep_rgb_disc/ppo_rgb_disc_dropfix__grid-436af849__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-4c14fac4__ts-20251008-145604,"{""batch_size"": 128, ""ent_coef"": 0.005, ""gae_lambda"": 0.95, ""learning_rate"": {""end"": 5e-05, ""schedule"": ""linear"", ""start"": 0.0003}, ""n_steps"": 2048}",RGB PPO discrete: tuned for deterministic extractor (no image dropout)
2025-10-10T09:56:57,ppo_rgb_disc_dropfix__grid-3f820a3d,ppo_rgb_disc_dropfix__grid-3f820a3d__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-11c4fedc__ts-20251009-123733,ppo,carla,rgb,disc,true,2,localhost,2005,100000,/home/elahed/users/elahe/RL for AIF in RAL/runs/sweep_rgb_disc/ppo_rgb_disc_dropfix__grid-3f820a3d__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-11c4fedc__ts-20251009-123733/checkpoints,runs/sweep_rgb_disc/ppo_rgb_disc_dropfix__grid-3f820a3d__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-11c4fedc__ts-20251009-123733/ppo_rgb_disc_dropfix__grid-3f820a3d__ppo__obs-rgb__act-disc__steps-4000000__seed-0__batch-128__nsteps-2048__lr-lin-0p0003-to-5e-05__ts-20251009-123733.zip,,4001792,12,0,75.00,0.3748,323.95,3.087,runs/sweep_rgb_disc/ppo_rgb_disc_dropfix__grid-3f820a3d__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-11c4fedc__ts-20251009-123733,"{""batch_size"": 128, ""ent_coef"": 0.01, ""gae_lambda"": 0.95, ""learning_rate"": {""end"": 5e-05, ""schedule"": ""linear"", ""start"": 0.0003}, ""n_steps"": 2048}",RGB PPO discrete: tuned for deterministic extractor (no image dropout)
2025-10-11T07:40:09,ppo_rgb_disc_dropfix__grid-5fbbdb40,ppo_rgb_disc_dropfix__grid-5fbbdb40__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-351af9a2__ts-20251010-095657,ppo,carla,rgb,disc,true,2,localhost,2005,100000,/home/elahed/users/elahe/RL for AIF in RAL/runs/sweep_rgb_disc/ppo_rgb_disc_dropfix__grid-5fbbdb40__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-351af9a2__ts-20251010-095657/checkpoints,runs/sweep_rgb_disc/ppo_rgb_disc_dropfix__grid-5fbbdb40__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-351af9a2__ts-20251010-095657/ppo_rgb_disc_dropfix__grid-5fbbdb40__ppo__obs-rgb__act-disc__steps-4000000__seed-0__batch-128__nsteps-2048__lr-lin-0p0003-to-5e-05__ts-20251010-095657.zip,,4001792,12,0,50.00,0.9515,328.23,3.047,runs/sweep_rgb_disc/ppo_rgb_disc_dropfix__grid-5fbbdb40__ppo__obs-rgb__act-disc__env-carla__steps-4000000__seed-0__render-1__rfreq-2__host-localhost__cfreq-100000__lr-lin-0p0003-to-5e-05__cfg-351af9a2__ts-20251010-095657,"{""batch_size"": 128, ""ent_coef"": 0.005, ""gae_lambda"": 0.98, ""learning_rate"": {""end"": 5e-05, ""schedule"": ""linear"", ""start"": 0.0003}, ""n_steps"": 2048}",RGB PPO discrete: tuned for deterministic extractor (no image dropout)
